operation,dimension,median_us,mean_us,p95_us,min_us,max_us,elements_per_second_median
bind,128,2.708,2.7016,2.75,2.666,2.958,47267355.98
unbind,128,2.834,2.8683,2.916,2.792,3.708,45165843.33
bundle,128,2.667,2.685,2.709,2.625,2.75,47994000.75
resonance,128,2.084,2.0777,2.125,2.041,2.125,61420345.49
bind,1024,25.584,25.7574,25.792,25.417,30.333,40025015.63
unbind,1024,25.625,26.1558,29.583,25.5,35.167,39960975.61
bundle,1024,25.709,25.9866,28.333,25.458,28.375,39830409.58
resonance,1024,18.292,18.4808,18.458,18.125,28.583,55980756.61
bind,4096,101.708,102.9883,111.084,101.416,129.916,40272151.65
unbind,4096,102.2705,105.1949,112.292,101.292,124.958,40050649.99
bundle,4096,102.0415,104.845,114.834,101.208,116.166,40140531.06
resonance,4096,73.458,74.0083,78.291,72.583,86.625,55759753.87
